Rank,Country,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,China,147887,147512,856806,583858,6,162
2,United States,113579,111426,1085684,370574,10,259
3,Japan,34294,34054,275980,73491,8,145
4,United Kingdom,24328,23671,278694,52119,11,159
5,India,21450,21183,179494,54929,8,132
6,Russian Federation,21259,20915,45629,17368,2,65
7,Germany,20898,20640,193676,39615,9,140
8,Canada,20689,20353,285554,53955,14,165
9,France,15584,15387,173959,37411,11,129
10,South Korea,14037,13952,151281,29670,11,116
11,Italy,13662,13457,154242,37030,11,121
12,Spain,11002,10886,167492,31489,15,130
13,Iran,10969,10872,94111,31251,9,85
14,Australia,10616,10496,129788,22759,12,123
15,Brazil,10599,10521,84010,20271,8,97
16,Taiwan,7365,7324,108366,17241,15,115
17,Turkey,6801,6730,117612,27363,17,118
18,Norway,6704,6656,50269,10582,8,83
19,Netherlands,6162,6086,67702,9150,11,96
20,Sweden,5383,5292,78925,12866,15,108
21,Malaysia,4852,4814,41316,10511,9,79
22,Denmark,4472,4428,55033,9426,12,98
23,Switzerland,4298,4255,53230,8403,12,91
24,Saudi Arabia,4251,4196,33048,4757,8,70
25,Mexico,4115,4071,29639,5540,7,64
26,Poland,3925,3896,34071,7737,9,65
27,Egypt,3431,3392,27484,4393,8,64
28,Greece,3303,3264,54815,7852,17,93
29,Belgium,3196,3130,34101,4664,11,74
30,Singapore,3066,3012,49874,5043,16,91
31,Portugal,2997,2972,32894,5555,11,74
32,Hong Kong,2889,2876,46851,5042,16,88
33,South Africa,2432,2412,17914,3043,7,55
34,Finland,2408,2382,26786,4449,11,66
35,Ukraine,2362,2226,6528,1888,3,29
36,Czech Republic,2222,2211,8389,1953,4,41
37,Romania,2205,2197,8727,1797,4,41
38,Austria,2133,2102,19946,2234,9,61
39,Thailand,2115,2103,26689,3446,13,71
40,Algeria,1645,1626,11257,2286,7,46
41,United Arab Emirates,1526,1510,9957,1088,7,45
42,Colombia,1404,1400,11080,1375,8,45
43,Argentina,1389,1379,14060,2050,10,52
44,Israel,1381,1366,18103,2476,13,61
45,New Zealand,1245,1233,15574,1742,13,54
46,Nigeria,1213,1207,5206,963,4,34
47,Ireland,1172,1155,20760,2477,18,66
48,Venezuela,1045,1040,8009,837,8,45
49,Pakistan,1034,1028,5664,1165,5,33
50,Kuwait,1008,1002,8233,978,8,44
51,Indonesia,997,991,5431,599,5,34
52,Tunisia,991,988,5880,1053,6,36
53,Slovakia,926,926,3002,743,3,25
54,Chile,880,859,8472,1114,10,41
55,Hungary,857,846,6040,1219,7,37
56,Estonia,807,787,3886,1766,5,24
57,Bulgaria,755,750,7739,1132,10,43
58,Slovenia,709,704,8834,952,12,45
59,Croatia,694,677,3925,758,6,28
60,Qatar,684,673,3766,615,6,27
61,Serbia,677,670,5158,988,8,34
62,Jordan,670,664,8841,846,13,48
63,Bangladesh,623,617,2895,309,5,26
64,Oman,591,589,3724,414,6,29
65,Morocco,483,476,3439,476,7,30
66,Lithuania,467,460,2041,495,4,20
67,Iraq,453,453,2489,302,5,24
68,Latvia,437,436,861,256,2,12
69,Lebanon,433,430,3940,367,9,33
70,Azerbaijan,392,385,655,145,2,11
71,Viet Nam,351,348,2025,175,6,19
72,Belarus,340,334,1297,251,4,17
73,Kazakhstan,324,318,879,149,3,11
74,Cyprus,262,257,6365,352,24,36
75,Libya,236,235,1289,68,5,18
76,Philippines,235,232,1465,255,6,22
77,Sri Lanka,233,228,1909,114,8,18
78,Cuba,227,225,1229,180,5,17
79,Ecuador,208,208,254,31,1,9
80,Trinidad and Tobago,191,189,567,59,3,12
81,Brunei Darussalam,181,172,928,94,5,14
82,Bosnia and Herzegovina,157,156,696,107,4,15
83,Bahrain,154,150,1279,44,8,17
84,Iceland,154,154,491,78,3,11
85,Kenya,134,132,1705,30,13,14
86,Peru,128,127,324,35,3,9
87,Macedonia,125,124,1447,99,12,22
88,Armenia,105,105,648,250,6,13
89,Uruguay,104,103,988,98,10,17
90,Syrian Arab Republic,93,92,918,95,10,16
91,Nepal,88,88,276,15,3,9
92,Moldova,88,73,159,67,2,7
93,Cameroon,84,84,527,92,6,12
94,Sudan,82,82,274,14,3,9
95,Luxembourg,80,78,580,63,7,15
96,Puerto Rico,80,78,828,41,10,12
97,Palestine ,72,72,629,53,9,14
98,Tanzania,67,67,785,73,12,18
99,Ghana,65,65,208,11,3,7
100,Macao,64,63,340,16,5,9
101,Uzbekistan,63,62,200,48,3,8
102,Ethiopia,59,57,229,34,4,6
103,Malta,57,56,133,28,2,6
104,Angola,56,56,140,2,3,7
105,Costa Rica,53,52,157,30,3,6
106,Botswana,42,40,105,5,3,5
107,Uganda,42,42,65,6,2,4
108,Georgia,39,39,28,5,1,3
109,Monaco,39,39,49,22,1,4
110,Paraguay,38,38,207,17,5,8
111,Mongolia,37,37,151,26,4,7
112,Montenegro,34,34,66,18,2,5
113,Mauritius,33,33,113,5,3,5
114,Burkina Faso,33,33,330,28,10,11
115,Bolivia,32,28,252,10,8,8
116,Yemen,30,30,253,35,8,9
117,El Salvador,29,29,31,5,1,3
118,Fiji,28,28,217,20,8,9
119,North Korea,28,28,496,0,18,10
120,Albania,27,27,217,14,8,7
121,Senegal,26,26,374,8,14,10
122,Zambia ,25,25,25,1,1,2
123,Congo,24,24,24,3,1,3
124,Jamaica,23,23,72,0,3,4
125,Zimbabwe,23,22,29,1,1,3
126,Mozambique,21,20,64,9,3,4
127,Laos,16,16,18,0,1,2
128,Panama,15,15,35,1,2,3
129,Myanmar,15,15,110,20,7,4
130,Nicaragua,15,15,28,1,2,3
131,Tajikistan,14,14,86,41,6,4
